prompt,chosen,rejected
How do you access the Leyndell Catacombs?,These catacombs are accessed via the Subterranean Shunning-Grounds,"Use the pipes to drop down to the very bottom and then head south to find a crack in the wall past the Giant Crayfish. The entrance to the catacombs can be found through the cracks. This area can also be accessed in the Leyndell, Ashen Capital version of the Royal Capital"
How do you access the Subterranean Shunning-Grounds?,"Fight off the Albinaurics that are crawling around the area, and look for a well in the northern corner. (If you've wandered to a place that overlooks a large open sewer area guarded by a Broken Statue, you've gone too far. Backtrack and try again. ) Drop down this well, pick up a Rune Arc , then look northwest for a passage that eventually leads to the Shunning-Grounds","It is accessible by descending the stairs at the Avenue Balcony Site of Grace and immediately turning left out of the double grate doors. First walk to the railing, and then move northwest until the rooftops are directly to your left. Hop over the railing onto the rooftops, then descend into the plaza. From the plaza's center, face due North. The well's wooden structure will be visible between a dilapidated ruin and the walkway"
How do you bait the Banished Knight into teleporting onto a higher platform?,"Banished Knight's Greatsword, Banished Knight Set (with altered helm and unaltered chest armor) The red-eyed spectral Banished Knight on the castle wall of Castle Sol can be baited into teleporting onto a higher platform (the roof of a room), after which the player can jump or roll to the walkway atop the wall that the Banished Knight was standing on just before","Banished Knight's Greatsword, Banished Knight Set (with altered helm and unaltered chest armor) The red-eyed spectral Banished Knight on the castle wall of Castle Sol can be baited into teleporting onto a higher platform (the roof of a room), after which the player can jump or roll to the walkway atop the wall that the Banished Knight was standing on just before"
How do you encounter the 3rd Banished Knight?,"Follow the path directly across the next room, through the breezeway, then veer left and straight ahead through another interior room. Make a right here and outside you'll see a Flame Spear guy in the distance. Approach and kill him. This should aggro the 3rd Banished Knight (greatsword and shield). I usually shield and sidestep for a Backstab on this one. Or use a heavy spell to stagger","Follow the path directly across the next room, through the breezeway, then veer left and straight ahead through another interior room. Make a right here and outside you'll see a Flame Spear guy in the distance. Approach and kill him. This should aggro the 3rd Banished Knight (greatsword and shield). I usually shield and sidestep for a Backstab on this one. Or use a heavy spell to stagger"
How do you obtain Grave Glovewort (4) in Elden Ring?,Go back to the lift and step on the plate to send it up and immediately jump off. Head into the opening and through the scarlot rot-flooded corridor. Look to the right for a narrow opening and follow it into a room where you can find the glovewort in the back. 2x found in the Black Knife Catacombs. The first one is found in the room with the cleaver traps,Wait for the second-to-last cleaver to fall and then stand on top of it to use it as a lift. Jump onto the tunnel in the wall and the glovewort can be found just to the right of the entrance. The next one is found by continuing along the same tunnel. All the way to the end of the path is an illusory wall hiding the Black Knife Assassin's mist gate. The glovewort is found just before this gate
How do you obtain Grave Glovewort (8) in Elden Ring?,"Pull the lever in the nearby alcove and go inside the opening in the lift column to descend further down. At the bottom level, sprint past the Lesser Burial Watchdog and turn right to find the second glovewort behind a second Lesser Burial Watchdog","Pull the lever in the nearby alcove and go inside the opening in the lift column to descend further down. At the bottom level, sprint past the Lesser Burial Watchdog and turn right to find the second glovewort behind a second Lesser Burial Watchdog"
What Consumables can be used to gain a great bounty of runes?,"Remembrance of the Regal Ancestor Spirit, hewn into the Erdtree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. Ancestral spirits exist as a phenomenon beyond the purview of the Erdtree. Life sprouts from death, as it does from birth. Such is the way of the living","Remembrance of the warrior Hoarah Loux, hewn into the Erdtree. The power ofits namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. When Godfrey, first Elden Lord was robbed of his grace, becoming Tarnished, he took with him his kinfolk and left the Lands Between. After the Long March of the Tarnished came to an end, Godfrey divested himself of kingship, becoming a simple warrior once more"
What Consumables can be used to gain an abundance of runes?,"Grace that dwells within the inhabitants of the Lands Between; the lingering residue of gold. Use to gain an abundance of runes. There were once heroes who walked the battlefields, abundantly blessed by the Erdtree itself, who upon earning their honor simply died","Grace that dwells within the inhabitants of the Lands Between; the lingering residue of gold. Use to gain an abundance of runes. There were once heroes who walked the battlefields, abundantly blessed by the Erdtree itself, who upon earning their honor simply died"
What Consumables can be used to gain many runes?,"Grace that dwells within the inhabitants of the Lands Between; the lingering trace of gold. Use to gain many runes. Those born at the foot of the Erdtree are blessed. At least, that is the enduring belief of the people of the plateau","Grace that dwells within the inhabitants of the Lands Between; the lingering residue of gold. Use to gain many runes. Those born at the foot of the Erdtree are blessed. At least, that is the enduring belief of the people of the plateau"
What Key Item can be found that is a record of crafting techniques left by a man who was denied the path of becoming a Finger Maiden?,"Record of crafting techniques left by a man who was denied the path of becoming a Finger Maiden. He instead became a missionary, spreading holy teachings","Record of crafting techniques left by a man who was denied the path of becoming a Finger Maiden. He instead became a missionary, spreading holy teachings"
What NPCs can be found in Liurnia of the Lakes?,Thops - Student at the Academy of Raya Lucaria. Hyetta - Blind lady who claims to be in search of the distant light. Iron Fist Alexander - Found stuck in the ground just south of the Carian Study Hall. Jar Bairn - A little living jar found in Jarburg and is a part of a few questlines. Latenna - Found in front of the Slumbering Wolf's Shack,"Rennala - Provides rebirthing services after defeating her at the Academy of Raya Lucaria. Rya , a scout for the Volcano Manor : Found at the structure next to the Birdseye Telescope stand. Smithing Master Iji : can be found in the north-western section of the map. Sorceress Sellen - Found at the Raya Lucaria Grand Library at the end of her quest. White Mask Varré : Found at the door to the Rose Church. Witch-Hunter Jerren - Found at the Raya Lucaria Grand Library at the end of Sellen's quest"
What PvP-exclusive balance adjustments were made according to the Patch Notes?,Decreased the effectiveness of the Claw Talisman. Decreased the effectiveness of the Lord of Blood’s Exultation Talisman. Decreased the attack power buff granted by the White Mask head armor. Decreased the jumping attack damage buff granted by the Raptor's Black Feathers armor,Decreased the power of the Founding Rain of Stars spell. Decreased the spell enhancement effect of the Terra Magica spell. Decreased the damage and poise damage of the Wave of Gold skill when hitting an opponent over a certain distance. Decreased the effectiveness of the Determination and Royal Knight's Resolve skills. Decreased the effects of the Contagious Fury skill of the Jellyfish Shield
What Shotel upgrades require regular reinforcement with various types of Smithing Stones?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Lightning Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Cold Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What Shotel upgrades require regular reinforcement?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Keen Affinity Ashes of War. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Heavy Affinity Ashes of War. This upgrade can be enchanted with Magic or boosted with Consumables"
What Waygates can be found in Limgrave that transport players to other locations?,"Stormveil Castle Bridge : Waygate found at the edge of the bridge where it's been broken, past all the Golems. Transports you past the broken bridge sections directly to the Divine Tower of Limgrave. Third Church of Marika : Waygate to the Bestial Sanctum in Caelid. See D, Hunter of the Dead for details","Dragon-Burnt Ruins : Transporter Trap. Chest at an underground cellar in Dragon-Burnt Ruins. It will teleport you to the Sellia Crystal Tunnel in Caelid. Murkwater Cave : Transporter Trap. The second chest where you first meet Patches will take you to the middle of Limgrave , just west of the Minor Erdtree (Mistwood)"
What abilities can a Redmane Knight use with Partisans?,"Redmane Knights equipped with Partisans are capable of using the Ash of War: Giant Hunt skill, which performs a powerful lunging thrust capable of launching a vulnerable player, or violently shoving a guarding player backwards. All Redmane Knights are capable of using the Ash of War: War Cry skill while on foot, which boosts their physical damage output for a short time","Redmane Knights equipped with Partisans are capable of using the Ash of War: Giant Hunt skill, which performs a powerful lunging thrust capable of launching a vulnerable player, or violently shoving a guarding player backwards. All Redmane Knights are capable of using the Ash of War: War Cry skill while on foot, which boosts their physical damage output for a short time"
What action do I need to take if Ranni the Witch tells me to begone after mentioning the curse mark on her discarded body?,"Upon first meeting her at Ranni's Rise, if she tells you to begone after mentioning the curse mark on her discarded body and won't recruit you into her service, you will need to return to Rogier at the Roundtable Hold and speak with him. He will suggest that you join into her service in order to learn more about where her curse mark could be found","Upon first meeting her at Ranni's Rise, if she tells you to begone after mentioning the curse mark on her discarded body and won't recruit you into her service, you will need to return to Rogier at the Roundtable Hold and speak with him. He will suggest that you join into her service in order to learn more about where her curse mark could be found"
What additional effects occur when using Ash of War: The Poison Flower Blooms Twice on enemies already affected by Poison or Scarlet Rot?,"When used on enemies that are already affected by Poison or Scarlet Rot , the Ash of War will deal extra damage, and then purge off that existing effect. The extra damage and purge effect only occur if the dive-kick makes contact, and neither will trigger if only the scarlet rot plume makes contact. If performed without FP, the skill does not create a Scarlet Rot plume. Skill Cost: 14 FP","When used on enemies that are already affected by Poison or Scarlet Rot , the Ash of War will deal extra damage, and then purge off that existing effect. The extra damage and purge effect only occur if the dive-kick makes contact, and neither will trigger if only the scarlet rot plume makes contact. If performed without FP, the skill does not create a Scarlet Rot plume. Skill Cost: 14 FP"
What are Crystal Tears in Elden Ring?,"A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick. The resulting concoction removes all FP consumption. However, this effect is only brief and will quickly expire","A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick. The resulting concoction increases the effectiveness of dodgerolls for a certain duration. However, damage taken is also increased during the concoction's effect"
What are Key Items that can be found in Frenzied's Cookbook?,A record of crafting techniques left by those afflicted by the madness of the flame of frenzy. Contains techniques discovered in desperation,A record of crafting techniques left by those afflicted by the madness of the flame of frenzy. Contains techniques discovered in desperation
What are Key Items used to store in Elden Ring?,Placeholder for location in sorted inventory,Placeholder for location in sorted inventory
What are Stats in Elden Ring?,"Number of runes required to raise a level. When you Level Up, you can choose an attribute to increase","This section lists all of your character's Main Stats, also referred to as Attributes. These Stats govern all other secondary Stats and can be increased by spending acquired Runes on them using the Level Up menu at any Site of Grace , once the feature is unlocked. At certain points when leveling an Attribute to higher values, you will start getting diminishing returns. i. e"
What are some examples of Builds in Elden Ring?,Gravity God : A Quality Build (Strength/Dexterity) Build that uses the Fallingstar Beast Jaw to deadly effect Blasphemous Herald : A melee build that uses Jump Attacks and the Blasphemous Blade to demolish enemies point blank and at range,Trina Dragon Priestess Dragonslayer Gravity Sorcerer Carian Knight Shadowblade Shadow Devonia's Hammer Divine Warrior Star-Lined Samurai Twin Axe Death Knight Meteoric Marauder Fire Knight Impaler Dragon God Maternal Mage Void Knight Bloody Beastclaw Pyromancer Perfumer Frost-Fu Monk Carian Twinblade Knight Blade Dark Paladin Savage Slasher Best Builds See all our Best Builds (click to reveal) 15 Best Faith Builds 15 Best Dexterity Builds Gravity Sorcerer Carian Knight Maternal Mage Frost-Fu Monk Blue Baller Spellthief Carian Cleaver Ghostblade Spellsword Rime Ronin Battlemage Moonlight Crusader Meteor Mage Nebula Knight Golden Sword Sage Soul Samurai Death Mage Warrior Wizard Silent Spearcaller Carian Spellknight Cold-Blooded Raptor Crystal Mage Dark Knight Darkmoon Spellblade Deathblade Death Knight Elementalist Enchanted Knight Freezing Battlemage Frost Knight Mage Magus Moonveil Samurai Moonveil Shinobi Royal Knight Sorcerer Spellblade Sword Sage Carian Sovereignty Dragon Priestess Divine Warrior Fire Knight Impaler Blazing Blackblade Flame Guardian Kung Fu Katarist Red Lightning Perfect Paladin Golden Arrow Blackknife Assassin Flame Dancer Black Blade Golden Sword Sage Godslayer Sword Saint Pyromancer Drake Knight Death Mage Crucible Knight Blackflame Apostle Blackflame Bushido Blackflame Spellblade Blasphemous Beastmaster Blasphemous Herald Crusader Deathblade Dragon Priest Elementalist Golden Eye Hellfire Herald Lightning Lancer Paladin Sword Sage Templar Black Knife Assassin Messmer Flame Shadowblade Shadow Dragon God Bloody Beastclaw Savage Slasher Black Guard Red Rogue Bloody Ballerina Dragon Dancer Magic Dragonknight Mad King Crimson Duelist Sanguine Spellblade Grim Reaper Blood Dancer Blood Dragon Dragon Knight Dragon Warrior Eochaid Executioner Frenzied Acolyte Sanguine Samurai Blood Lancer Double Dragon Storm Blessed Dragonslayer Devonia's Hammer Twin Axe Death Knight Meteoric Marauder Frost-Fu Monk Carian Twinblade Blue Baller Tower Knight Warrior of Waves Gold Breaker Vanquisher Coldstorm Cleric Haima Hoplite Barbarian Berserker Gladiator Guardian Golem Archer Cold-Blooded Raptor Colossal Crusher Bloody Bowman Flame Dancer Inquisitor Carian Cavalier Starscourge Drake Knight Black Arrow Elden Lord Dragonscale Daimyo Blazing Executioner Blasphemous Beastmaster Blasphemous Herald Blazing Bushido Champion Cold-Blooded Raptor Colossal Knight Colossus Guardian Gravity God Magic Archer Royal Knight Scorching Slayer Sorcery Sentinel Venomous Bloodblade Black Flame Apostle Magma Blade Storm Arrow Swordsman of St
What are some examples of Colossal Swords in Elden Ring?,Quick Search of All Weapons Fire Knight's Greatsword,Quick Search of All Weapons Fire Knight's Greatsword
What are some examples of Creatures and Enemies found in the Lands Between?,Abnormal Stone Cluster Basilisk Bear Black Knight Horse Blue Worm Boar Burning Slug Chariot Crab Crystal Snail Deer Direwolf Dog Eagle Farum Azula Dragon Fingercreeper Giant Ant Giant Bat Giant Crab Giant Dragonfly Giant Land Octopus Giant Crayfish Giant Miranda Sprout Giant Rat Glintstone Dragon Gravebird Guillemot Hippopotamus Horse Iron Virgin Lamprey Land Octopus Land Squirt Large Putrid Flesh Lesser Dragon Lesser Fingercreeper Lesser Red Wolf of Radagon Lesser Runebear Lesser Spirit-Caller Snail Living Magma Lone Wolf Malformed Star Miranda Sprout Monstrous Dog Monstrous Crow Owl Putrid Flesh Rotten Stray Slug Springhare Spider Scorpion School of Graven Mages Sheep Silver Tear Skeletal Slime Skeletal Snail Spirit Jellyfish Teardrop Scarab Turtle Warhawk Wild Mouflon,Aging Untouchable Albinauric Albinauric Wolfback Archer Ancestral Follower Ancestral Follower Shaman Avionette Soldier Azula Beastman Banished Knight Battlemage Bigmouth Imp Blackflame Monk Black Knight Bloodfiend Broken Statue Catacomb Skeleton Celebrant Chanting Winged Dame Clayman Commoner Curseblade Demi-Human Demi-Human Queen Demi-Human Swordmaster Depraved Perfumer Divine Bird Warrior Exile Soldier Fallen Hawks Soldier Fanged Imp Fat Inquisitor Fire Monk Fire Knight First-Generation Albinauric Flame Guardian Frenzied Villager Furnace Golem Giant Beast Skeleton Giant Skeleton (Spirit) Glintstone Miner Glintstone Sorcerer Godrick Foot Soldier Godrick Knight Godrick Soldier Golem Golem Smith Guardian Haligtree Foot Soldier Haligtree Knight Haligtree Soldier Highwayman Horned Shaman Horned Warrior Candle Inquisitor Jar Innards Kaiden Sellsword Knight of Zamor Large Oracle Envoy Lazuli Sorcerer Lesser Abductor Virgin Lesser Alabaster Lord Lesser Black Knife Assassin Lesser Bloodhound Knight Lesser Burial Watchdog Lesser Cemetery Shade Lesser Cleanrot Knight Lesser Crucible Knight Lesser Crystalian Lesser Demi-Human Chief Lesser Dragonkin Soldier (Spirit) Lesser Kindred of Rot (Pests) Lesser Mad Pumpkin Head Lesser Ulcerated Tree Spirit Lesser Wormface Leyndell Foot Soldier Leyndell Knight Leyndell Soldier Living Jar Man-Serpent Flame Chariot Marionette Soldier Man-Fly Mausoleum Foot Soldier Mausoleum Knight Mausoleum Soldier Messmer Foot Soldier Messmer Soldier Miner Misbegotten Night Maiden Noble Sorcerer Nox Monk Nox Swordstress Omen Oracle Envoy Oracle Envoy Giant Page Perfumer Prelate Putrescence Sorcerer Putrid Corpse Radahn Foot Soldier Radahn Soldier Raya Lucaria Foot Soldier Raya Lucaria Knight Raya Lucaria Soldier Raya Lucaria Sorcerer Raya Lucaria Warden Redmane Knight Revenant Rotten Duelist Sanguine Noble Second-Generation Albinauric Servant of Rot Shadowpot Shadow Commoner Shadow Militiamen Shadow Undead Soldier Skeletal Bandit Skeletal Militiaman Skeleton Mage Skeletons Starcaller Thorn Sorcerer Troll Troll Knight Twinsage Sorcerer Vulgar Militiamen Wandering Nobles Wraith Caller
What are some examples of Creatures and Enemies found in the world of Elden Ring?,"Mushroom covered humanoid spell casters that wield the powers of rot, throwing poisonous bolts at their targets from afar","Base level soldiers, devoted followers of Messmer the Impaler"
What are some examples of Creatures and Enemies that can be found in Elden Ring?,"The withered remains of the once proud Fallen Hawks , soldiers ordered to explore the Eternal City","Former warriors who live in Death, often assembling in cemeteries and ruins across the Lands Between"
What are some examples of Heavy Thrusting Swords in Elden Ring?,Quick Search of All Weapons,Quick Search of All Weapons
What are some examples of Medium Shields in Elden Ring?,Quick Search of All Shields Messmer Soldier Shield Wolf Crest Shield Serpent Crest Shield,Quick Search of All Shields Messmer Soldier Shield Wolf Crest Shield Serpent Crest Shield
What are some examples of Side Quests that can be completed in Elden Ring?,"Blaidd's Armor Blaidd's Gauntlets Blaidd's Greaves Royal Greatsword Somber Smithing Stone (2) Bloodhound's Fang (Quest not required to obtain) Gesture: Finger Snap Ability to buy Carian Filigreed Crest War Counselor Iji Ranni Merchant Kale Talk to Fia after defeating Godrick the Grafted. She only talks only while holding you, so you have no choice but to accept her hug in order to start her quest","Mending-Rune of the Death Prince Remembrance of the Lichdragon Fia's Set Fia's Mist Radiant Baldachin's Blessing Baldachin's Blessing (If Held) Assassin's Cerulean Dagger (Quest not required to obtain) D, Hunter of the Dead D, Beholder of Death Find her at Waypoint Ruins in Limgrave. Accept to study under her teaching, exhaust all dialogues. Return to Sorceress Sellen"
What are some examples of Unobtainable Items in Elden Ring?,Golden Dung Hidden Plumage,"Lucent Baldachin's Blessing Asimi, Silver Tear Burial Crow's Letter Asimi's Husk Note: Great Coffins Erdtree Codex"
What are some examples of Weapons that can be wielded by a Tarnished in Elden Ring?,Club Curved Club Spiked Club Stone Club Mace Morning Star Warpick Hammer Monk's Flamemace Varre's Bouquet Envoy's Horn Nox Flowing Hammer Ringed Finger Scepter of the All-Knowing Marika's Hammer Flowerstone Gavel,Short Sword Longsword Broadsword Weathered Straight Sword Lordsworn's Straight Sword Noble's Slender Sword Cane Sword Warhawk's Talon Lazuli Glintstone Sword Carian Knight's Sword Crystal Sword Rotten Crystal Sword Miquellan Knight's Sword Ornamental Straight Sword Golden Epitaph Sword of St Trina Regalia of Eochaid Coded Sword Sword of Night and Flame Velvet Sword of St Trina Stone-Sheathed Sword Sword of Light Sword of Darkness
What are some examples of unique Builds in Elden Ring?,"Black Flame Apostle : A hybrid spellcaster that buffs its weapon with Black Flame Blade, while chucking fire balls at its enemies. Champion : A dual wielding greatsword build that focuses on the use of Jump Attacks to shell out tons of damage in seconds","Blackflame Bushido : A Faith/Dexterity Samurai build that uses Black Flame spells and Phantom Slash to burn enemies to a crisp. Golden Champion : A Dexterity based tanky warrior that can Block Counter, Parry and Dual Wield all in one setup. Royal Knight : A Strength/Intelligence Build that uses two Magic-base Weapons and a Greatshield to freeze enemies in melee and at range"
What are some general tips for finding Curved Greatswords in Elden Ring?,Quick Search of All Weapons,Quick Search of All Weapons
What are some general tips for finding all types of Great Hammers in Elden Ring?,Quick Search of All Weapons,Quick Search of All Weapons
What are some general tips for finding all types of Greatswords in Elden Ring?,Quick Search of All Weapons,Quick Search of All Weapons
What are some general tips for upgrading all types of Greatswords in Elden Ring?,Quick Search of All Weapons,Quick Search of All Weapons
What are some key advantages of using a Wakizashi over a second katana in Elden Ring?,"Advantages over using a second katana: Able to equip Ash of War: Parry. When equipped with Parry, L2 will use the left-hand parry instead of the right-hand Katana's skill. The powerstance L1 combo consumes roughly 20% less stamina","Advantages over using a second katana: Able to equip Ash of War: Parry. When equipped with Parry, L2 will use the left-hand parry instead of the right-hand Katana's skill. The powerstance L1 combo consumes roughly 20% less stamina"
What are some key characteristics of Smithscript Cirque's thrown attacks?,"Thrown attacks when standing or riding horseback curve to the left Thrown attacks while running or jumping arc upwards instead Damage dealt by thrown cirques is affected by effective range. Arrow's Reach Talisman will not extend the range of thrown cirques but will reduce the damage falloff. Thrown attacks have strong tracking, and rarely miss their target","Thrown attacks when standing or riding horseback curve to the left Thrown attacks while running or jumping arc upwards instead Damage dealt by thrown cirques is affected by effective range. Arrow's Reach Talisman will not extend the range of thrown cirques but will reduce the damage falloff. Thrown attacks have strong tracking, and rarely miss their target"
What are some key characteristics of the Bloody Helice?,"Weapon Skill : Dynast's Finesse This weapon cannot be infused with Ashes of War Can't be buffed by Magic or Consumables Bloody Helice can be upgraded by using Somber Smithing Stones Its weapon art is a back-stepping dodge, an R2 attack used during this animation will cause the player to follow up with a heavy forward thrust","Please refer to the Upgrades Table of this weapon below. The name Helice , (pronounced ""EE-leese"") also spelled Hélice, is French for ""helix"" as well as ""propellor"". The spinning dodge costs no FP if one has not met the stat requirement to use the weapon, which can be used by pure caster builds to evade attacks right after casting spells, however, it would not have the damage immunity. The R2 attack is a heavy forward thrust The Feint attack is similar to the standard heavy thrusting sword moveset, but it features a wider arc on the backward sweep attack"
What are some key components of a PvE Build for an Elden Ring Cipher character?,"Standard Weapons : Cipher Pata , Coded Sword , Godslayer's Seal Early Game Weapons : Longsword , Broadsword , Short Spear , Shortbow Shield : Beast Crest Heater Shield initially, any other low strength shield you prefer later, based on boss/area progression. Armor : Whatever's in fashion or has the resistances you need for progression. Keep your weight to medium","Talismans : Two Fingers Heirloom , any other useful talisman. The Green Turtle Talisman is always nice. Primary Stat s: Faith Secondary Stats : 15 Vigor 15+ Mind as needed for FP 10+ Endurance as needed for the armor set you prefer"
